samples,predicted
"Tengri Bank акционерлік қоғамы әкімшілік-шаруашылық департаментінің бұрынғы директоры Бақытов Алмас Бақытұлы мен оның бақылауында болған компанияның жетекшісі Рахметова Тоғжан Тілеужанқызына халықаралық іздеу жарияланды.
","Тенгри Банк акционерлік қоғамы әкімшілікшаруашылық департаментінің бұрынғы директоры Бақытов Алмас Бақытұлы мен оның бақылауында болған компанияның жетекшісі Рахметова Тоғжан Тілеужанқызына халықаралық іздеу жарияланды 
"
"Оларға банк қаражатын жымқырды деген айып тағылып отыр.
","Оларға банк қаражатын жымқырды деген айып тағылып отыр 
"
"Жоғарыда аталған азаматтарды көргендер болса, іздеумен айналысып жатқан қаржы мониторингі агенттігіне хабар бере алады.
","Жоғарыда аталған азаматтарды көргендер болса, іздеумен айналысып жатқан қаржы мониторингі агенттігіне хабар бере алады 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Тағы бір өңір «қызыл аймаққа» оралды
","« Тағы бір өңір «қызыл аймаққа» оралды
"
"Қазақстанға шетелден 247 жолаушы анықтамасыз келген »
","Қазақстанға шетелден екі жүз қырық жеті жолаушы анықтамасыз келген »
"
"Елімізде баспанаға мұқтаждардың қаржысын алып, міндеттемесін орындамайтын 123 құрылыс компаниясы бар, деп хабарлайды «Хабар 24».
","Елімізде баспанаға мұқтаждардың қаржысын алып, міндеттемесін орындамайтын жүз жиырма үш құрылыс компаниясы бар, деп хабарлайды «Хабар жиырма төрт» 
"
"Бүгінгі Үкімет отырысында құрылысшылардың рейтингісін құрып, олармен жұмыс істеудің жаңа әдістемесі ұсынылды.
","Бүгінгі Үкімет отырысында құрылысшылардың рейтингісін құрып, олармен жұмыс істеудің жаңа әдістемесі ұсынылды 
"
"Мәселен, құрылыс нарығында беделі төмен компанияларға халықтың қаржысы мемлекеттік бірыңғай оператор арқылы тартылады.
","Мәселен, құрылыс нарығында беделі төмен компанияларға халықтың қаржысы мемлекеттік бірыңғай оператор арқылы тартылады 
"
"Яғни, тұрғындар үлескерлік салымын бірыңғай операторға беріп, баспанаға қол жеткізу кепілдігіне ие болады.
","Яғни, тұрғындар үлескерлік салымын бірыңғай операторға беріп, баспанаға қол жеткізу кепілдігіне ие болады 
"
"Ал, мемлекеттік оператор рейтингісі төмен компаниялармен тікелей жұмыс істеп, олардың құрылыс жобасына қаржы тартады.
","Ал, мемлекеттік оператор рейтингісі төмен компаниялармен тікелей жұмыс істеп, олардың құрылыс жобасына қаржы тартады 
"
"Ал, мемлекеттік оператор рейтингісі төмен компаниялармен тікелей жұмыс істеп, олардың құрылыс жобасына қаржы тартады. Осылайша, құрылыс нарығындағы бақылауды күшейте түседі. Ал, қаржылық тұрғыдан тұрақты компаниялар үшін кепілдендірудің қазіргі жүйесі сақталады.
","Ал, мемлекеттік оператор рейтингісі төмен компаниялармен тікелей жұмыс істеп, олардың құрылыс жобасына қаржы тартады  Осылайша, құрылыс нарығындағы бақылауды күшейте түседі  Ал, қаржылық тұрғыдан тұрақты компаниялар үшін кепілдендірудің қазіргі жүйесі сақталады 
"
"Жалпы биыл 17 млн шаршы метр үйді қолданысқа беру жоспарда бар.
","Жалпы биыл он жеті миллионов шаршы метр үйді қолданысқа беру жоспарда бар 
"
"Бұған 309 млрд теңге тарту көзделіп отыр.
","Бұған үш жүз тоғыз миллиардов теңге тарту көзделіп отыр 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Елімізде баспана бағасын тұрақтандыратын жоба жасалып жатыр
","« Елімізде баспана бағасын тұрақтандыратын жоба жасалып жатыр
"
"МӘСҚ: 30 мыңнан астам адам жұмысынан айырылуына байланысты төлем алды »
","МӘСҚ: отыз мыңнан астам адам жұмысынан айырылуына байланысты төлем алды »
"
"Қытайда коронавирустың ушығуына байланысты жаппай вакциналау жүріп жатыр, деп хабарлайды «Хабар 24».
","Қытайда коронавирустың ушығуына байланысты жаппай вакциналау жүріп жатыр, деп хабарлайды «Хабар жиырма төрт» 
"
"Шығыс күнтізбесіндегі жаңа жылға дейін 50 млн тұрғынға екпе салынуы тиіс.
","Шығыс күнтізбесіндегі жаңа жылға дейін елу миллионов тұрғынға екпе салынуы тиіс 
"
"Бейжіңде 1,5 млн-ға жуық тұрғын вакцина алып үлгерген.
","Бейжіңде бір бүтін оннан бес миллионовға жуық тұрғын вакцина алып үлгерген 
"
"Олардың қатарында дәрігерлер, қоғамдық қызметкерлер, әуежай мен вокзалдар жұмысшылары бар.
","Олардың қатарында дәрігерлер, қоғамдық қызметкерлер, әуежай мен вокзалдар жұмысшылары бар 
"
"Мемлекет өз азаматтарына екпені тегін жасайды.
","Мемлекет өз азаматтарына екпені тегін жасайды 
"
"Арна тілшісі вакцинация бекеттерінің біріне барып қайтты.
","Арна тілшісі вакцинация бекеттерінің біріне барып қайтты 
"
"Ботағөз Сырғабаева, тілші:
","Ботағөз Сырғабаева, тілші:
"
"- Бейжіңде мұндай бекеттер саны 200-ден асады.
","  Бейжіңде мұндай бекеттер саны екі жүзден асады 
"
"Оған жергілікті тұрғындардан бөлек, түрлі ұйым қызметкерлері де келеді.
","Оған жергілікті тұрғындардан бөлек, түрлі ұйым қызметкерлері де келеді 
"
"Вакцинаны салып үлгеру үшін,һ уақытша орталықтар да ашылған.
","Вакцинаны салып үлгеру үшін,һ уақытша орталықтар да ашылған 
"
"Оған жергілікті тұрғындардан бөлек, түрлі ұйым қызметкерлері де келеді. Вакцинаны салып үлгеру үшін,һ уақытша орталықтар да ашылған. Арнайы бекет 6 бөлімнен тұрады. Оның бірінде дене қызуы өлшесе, екіншісі сізді тіркейді.
","Оған жергілікті тұрғындардан бөлек, түрлі ұйым қызметкерлері де келеді  Вакцинаны салып үлгеру үшін,һ уақытша орталықтар да ашылған  Арнайы бекет алты бөлімнен тұрады  Оның бірінде дене қызуы өлшесе, екіншісі сізді тіркейді 
"
"Егер қарсы көрсеткіштер болмаса, вакцина жасау процедурасына өтесіз.
","Егер қарсы көрсеткіштер болмаса, вакцина жасау процедурасына өтесіз 
"
"Чжэн Хунвэй, жалпы тәжірибелік дәрігер:
","Чжэн Хунвэй, жалпы тәжірибелік дәрігер:
"
"- Біз күнде 1000-ға жуық адамға екпе саламыз.
","  Біз күнде бір мыңға жуық адамға екпе саламыз 
"
"Кейбірінің қызуы көтерілсе, кей адамдар өзін әлсіз сезінуі мүмкін.
","Кейбірінің қызуы көтерілсе, кей адамдар өзін әлсіз сезінуі мүмкін 
"
"Дегенмен, ондай жағдайлар сирек тіркеледі.
","Дегенмен, ондай жағдайлар сирек тіркеледі 
"
"Осы күнге дейін күрделі жағдайлар туындаған емес.
","Осы күнге дейін күрделі жағдайлар туындаған емес 
"
"Бұл жер оқыс жағдайларға дайын.
","Бұл жер оқыс жағдайларға дайын 
"
"Алғашқы медициналық көмек көрсету үшін арнайы аймақ жабдықталған.
","Алғашқы медициналық көмек көрсету үшін арнайы аймақ жабдықталған 
"
"Алғашқы медициналық көмек көрсету үшін арнайы аймақ жабдықталған. Сыртта жедел жәрдем қызметкерлері кезекшілік етеді. Ал, өзге аймақта вакцина салынған тоңазытқыштар бар.
","Алғашқы медициналық көмек көрсету үшін арнайы аймақ жабдықталған  Сыртта жедел жәрдем қызметкерлері кезекшілік етеді  Ал, өзге аймақта вакцина салынған тоңазытқыштар бар 
"
"Ол қауіпсіздік мақсатында ешкімге көрсетілмейді.
","Ол қауіпсіздік мақсатында ешкімге көрсетілмейді 
"
"Әрі оның температурасы 2-ден 8 градусқа дейін қатаң сақталады.
","Әрі оның температурасы екіден сегіз градусқа дейін қатаң сақталады 
"
"Го Шубинь, профессор, Бейжіңдегі «Чаоян» клиникасының қызметкері:
","Го Шубинь, профессор, Бейжіңдегі «Чаоян» клиникасының қызметкері:
"
"- Ережеге сәйкес, Қытайда вакцина екі рет егіледі.
","  Ережеге сәйкес, Қытайда вакцина екі рет егіледі 
"
"Екпе аралығы 14 күнді құрайды. Екінші дозаны қабылдағаннан кейін шамамен бір ай ішінде иммунитет қалыптасады.
","Екпе аралығы он төрт күнді құрайды  Екінші дозаны қабылдағаннан кейін шамамен бір ай ішінде иммунитет қалыптасады 
"
"Бұл басқа ауруларға қарсы вакциналарға да қатысты құбылыс.
","Бұл басқа ауруларға қарсы вакциналарға да қатысты құбылыс 
"
"Вирус пен оған қарсы вакцина біз үшін жаңа құбылыс болған соң оның әсері жайлы айтуға әлі ерте деп ойлаймын.
","Вирус пен оған қарсы вакцина біз үшін жаңа құбылыс болған соң оның әсері жайлы айтуға әлі ерте деп ойлаймын 
"
"Тек осы бекеттің өзінде күніне 3000-ға жуық адам екпе салғызады.
","Тек осы бекеттің өзінде күніне үш мыңға жуық адам екпе салғызады 
"
"Оларға «Синофарм» компаниясының вакцинасы егіледі.
","Оларға «Синофарм» компаниясының вакцинасы егіледі 
"
"Препаратты Қытай үкіметі мақұлдаған.
","Препаратты Қытай үкіметі мақұлдаған 
"
"Жыл соңына дейін оның өндірісін бір жарым миллиард дозаға дейін ұлғайту жоспарда бар.
","Жыл соңына дейін оның өндірісін бір жарым миллиард дозаға дейін ұлғайту жоспарда бар 
"
"Себебі ұжымдық иммунитетті қалыптастыру үшін кем дегенде тұрғындардың 85%-іне вакцина салу керек.
","Себебі ұжымдық иммунитетті қалыптастыру үшін кем дегенде тұрғындардың сексен бес проценттер  іне вакцина салу керек 
"
"Авторы: Ботағөз Сырғабаева
","Авторы: Ботағөз Сырғабаева
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Солтүстік Корея жаңа баллистикалық зымырандарын көрсетті
","« Солтүстік Корея жаңа баллистикалық зымырандарын көрсетті
"
"Францияда наурызға дейін 4 млн-ға жуық тұрғынға вакцина салынады »
","Францияда наурызға дейін төрт миллионовға жуық тұрғынға вакцина салынады »
"
"Израильде жасы 16-дан асқандарға коронавируске қарсы вакцина салуға рұқсат берілді.
","Израильде жасы он алтыдан асқандарға коронавируске қарсы вакцина салуға рұқсат берілді 
"
"Биліктің түсіндіруінше, елде екпе бәріне жетеді.
","Биліктің түсіндіруінше, елде екпе бәріне жетеді 
"
"Оның үстіне бұл жоғары сынып оқушыларының еш қиындықсыз мектеп бітіру туралы аттестат алуы үшін жасалып отыр.
","Оның үстіне бұл жоғары сынып оқушыларының еш қиындықсыз мектеп бітіру туралы аттестат алуы үшін жасалып отыр 
"
"Осы күнге дейін препарат тек жасы 35-тен асқандарға ғана салынып келген.
","Осы күнге дейін препарат тек жасы отыз бестен асқандарға ғана салынып келген 
"
"Айта кеткен жөн, Израиль вакциналау қарқыны бойынша әлемде көш бастап тұр.
","Айта кеткен жөн, Израиль вакциналау қарқыны бойынша әлемде көш бастап тұр 
"
"Бүгінде препараттың бірінші дозасын 3 миллион 300 мың адам алған. Бұл халықтың шамамен үштен бірі.
","Бүгінде препараттың бірінші дозасын үш миллион үш жүз мың адам алған  Бұл халықтың шамамен үштен бірі 
"
"Тал Экрони, 31 жастағы тұрғын:
","Тал Экрони, отыз бір жастағы тұрғын:
"
"- Жасы 16-дан асқандарға екпе салдыруға болатынын ести салысымен бірден сайтта тіркеуден өтіп, осында келдік.
","  Жасы он алтыдан асқандарға екпе салдыруға болатынын ести салысымен бірден сайтта тіркеуден өтіп, осында келдік 
"
"Вакцинаны мүмкіндігінше ерте алғанымыз дұрыс.
","Вакцинаны мүмкіндігінше ерте алғанымыз дұрыс 
"
"Сонда тезірек қалыпты өмірге қайта оралатын боламыз.
","Сонда тезірек қалыпты өмірге қайта оралатын боламыз 
"
"Осындай көрсеткіштерге қарамастан елде коронавирустың тарауы бәсеңдемей тұр.
","Осындай көрсеткіштерге қарамастан елде коронавирустың тарауы бәсеңдемей тұр 
"
"Сарапшылар оның екі себебі барын айтады.
","Сарапшылар оның екі себебі барын айтады 
"
"Біріншіден, қазір вирустың түрлі мутациялары тез тарап барады.
","Біріншіден, қазір вирустың түрлі мутациялары тез тарап барады 
"
"Екіншіден, діндар еврейлер шектеу шараларын елемей, көп адамның қатысуымен жиындарын, үйлену тойлары мен жерлеу рәсімдерін өткізіп келеді.
","Екіншіден, діндар еврейлер шектеу шараларын елемей, көп адамның қатысуымен жиындарын, үйлену тойлары мен жерлеу рәсімдерін өткізіп келеді 
"
"Оның үстіне олар вакцина салдырудан бас тартып отыр.
","Оның үстіне олар вакцина салдырудан бас тартып отыр 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Грекияның круиз компаниялары вакцинаға үміт артып отыр
","« Грекияның круиз компаниялары вакцинаға үміт артып отыр
"
"Германия биылдың алғашқы тоқсанында 10 миллион адамды вакциналауды көздейді »
","Германия биылдың алғашқы тоқсанында он миллион адамды вакциналауды көздейді »
"
"ҚР БҒМ ҒК СТӘЭ мемлекеттік мекемесі хабарлайды.
","ҚР БҒМ ҒК СТӘЭ мемлекеттік мекемесі хабарлайды 
"
"1 қараша күні сағат 03:28-де Алматы қаласынан оңтүстікке қарай 297 шақырым қашықтықта жер сілкінді.
","бірінші қараша күні сағат үш:жиырма сегізде Алматы қаласынан оңтүстікке қарай екі жүз тоқсан жеті шақырым қашықтықта жер сілкінді 
"
"Табиғи апат ошағы Қытайда болған.
","Табиғи апат ошағы Қытайда болған 
"
"Магнитудасы: 4,8
","Магнитудасы: төрт бүтін оннан сегіз
"
"Тереңдігі: 5 шақырым
","Тереңдігі: бес шақырым
"
"Аударған: Г.
","Аударған: Г 
"
"Абилова
","Абилова
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Алматыда дөнер орталығынан өрт шықты
","« Алматыда дөнер орталығынан өрт шықты
"
"ШҚО-да көлдің арғы бетіне өтпек болған жігіт суға кетті »
","ШҚО да көлдің арғы бетіне өтпек болған жігіт суға кетті »
"
"11 ақпанда бірқатар БАҚ пен әлеуметтік желілерде Жоғарғы сот судьясы басқа судьяның қызмет орнын ауыстыруға ықпал ету үшін пара алу үстінде ұсталуы туралы ақпарат тарады.
","он бірінші ақпанда бірқатар БАҚ пен әлеуметтік желілерде Жоғарғы сот судьясы басқа судьяның қызмет орнын ауыстыруға ықпал ету үшін пара алу үстінде ұсталуы туралы ақпарат тарады 
"
"Осыған байланысты Жоғары сот кеңесінің баспасөз қызметі түсініктеме берді.
","Осыған байланысты Жоғары сот кеңесінің баспасөз қызметі түсініктеме берді 
"
"Әлеуметтік желілерде тараған ақпараттағы судья 2019 жылдың ақпаны мен 2020 жылдың желтоқсаны аралығында Жоғары сот кеңесінің мүшесі болған.
","Әлеуметтік желілерде тараған ақпараттағы судья екі мың он тоғызыншы жылдың ақпаны мен екі мың жиырмасыншы жылдың желтоқсаны аралығында Жоғары сот кеңесінің мүшесі болған 
"
"«Қазақстан Республикасының Жоғары сот кеңесі туралы» Заңына сәйкес Жоғары сот кеңесінің тұрақты мүшелері 10 адамнан тұрады.
","«Қазақстан Республикасының Жоғары сот кеңесі туралы» Заңына сәйкес Жоғары сот кеңесінің тұрақты мүшелері он адамнан тұрады 
"
"Оның 8-і қазіргі таңда судья.
","Оның сегізі қазіргі таңда судья 
"
"Кеңес құрамына судьяларды Жоғарғы сот өзінің алқа мәжілісінің отырысында сайланып (Жоғарғы сот судьяларының барлығы мақұлдап) ұсынылады. Кеңес мүшелері әр бір жарым жыл сайын ауысып отырады.
","Кеңес құрамына судьяларды Жоғарғы сот өзінің алқа мәжілісінің отырысында сайланып (Жоғарғы сот судьяларының барлығы мақұлдап) ұсынылады  Кеңес мүшелері әр бір жарым жыл сайын ауысып отырады 
"
"Жоғары сот кеңесінің құрамы соңғы рет 2020 жылы желтоқсан айында жаңарды.
","Жоғары сот кеңесінің құрамы соңғы рет екі мың жиырмасыншы жылы желтоқсан айында жаңарды 
"
"Қызмет атқарып жүрген судьяларды бір соттан басқа сотқа ауыстыруға қатысты: мұндай ауыстырулар конкурстан тыс тәртіпте тек Жоғарғы сот төрағасының ұсынымымен Жоғарғы сот жанындағы Сот төрелігінің сапасы жөніндегі комиссияның шешімі негізінде іске асуы мүмкін.
","Қызмет атқарып жүрген судьяларды бір соттан басқа сотқа ауыстыруға қатысты: мұндай ауыстырулар конкурстан тыс тәртіпте тек Жоғарғы сот төрағасының ұсынымымен Жоғарғы сот жанындағы Сот төрелігінің сапасы жөніндегі комиссияның шешімі негізінде іске асуы мүмкін 
"
"Жоғары сот кеңесі осы шешімді негізге алып, ұсыныс жасайды», - делінген хабарламада.
","Жоғары сот кеңесі осы шешімді негізге алып, ұсыныс жасайды»,   делінген хабарламада 
"
"Бұған дейін Жоғарғы сот судьясы пара алу кезінде ұсталғанын хабарлаған болатынбыз.
","Бұған дейін Жоғарғы сот судьясы пара алу кезінде ұсталғанын хабарлаған болатынбыз 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Қазақстанда 1 қыркүйекте онлайн санақ басталады
","« Қазақстанда бірінші қыркүйекте онлайн санақ басталады
"
"Қ.
","Қ 
"
"Тоқаев: Фемида қызметкерлері заңдылықтың, сатылмайтындықтың үстем құруына қызмет етуі тиіс »
","Тоқаев: Фемида қызметкерлері заңдылықтың, сатылмайтындықтың үстем құруына қызмет етуі тиіс »
"
"Танымал журналист Дүрәлі Дүйсебай өмірден озды, деп хабарлайды ҚазАқпарат.
","Танымал журналист Дүрәлі Дүйсебай өмірден озды, деп хабарлайды ҚазАқпарат 
"
"«Белгілі журналист Дүрәлі Дүйсебай ағамыз өмірден озды деген қаралы хабар естідік...
","«Белгілі журналист Дүрәлі Дүйсебай ағамыз өмірден озды деген қаралы хабар естідік   
"
"Дүрағамен «Халық сөзі» газетінде бірге қызметтес болдық, ақкөңіл, жан баласына қылдай қиянаты жоқ азамат еді...
","Дүрағамен «Халық сөзі» газетінде бірге қызметтес болдық, ақкөңіл, жан баласына қылдай қиянаты жоқ азамат еді   
"
"Қайран, Дүр-ағам-ай!
","Қайран, Дүрағамай!
"
"Туған-туыс, достарына, әріптес баршаңызға қайғыға ортақтаса көңіл айтамын.
","Туғантуыс, достарына, әріптес баршаңызға қайғыға ортақтаса көңіл айтамын 
"
"Иманды болсын!», - деп жазды журналист Қуат Әуесбай.
","Иманды болсын!»,   деп жазды журналист Қуат Әуесбай 
"
"Дүрәлі Дүйсебай – көпшіліке танымал, қаламы қарымды журналист.
","Дүрәлі Дүйсебай   көпшіліке танымал, қаламы қарымды журналист 
"
"«Лениншіл жас» (қазіргі «Жас Алаш») газетінде ұзақ жыл қызмет атқарған (1981-1996).
","«Лениншіл жас» (қазіргі «Жас Алаш») газетінде ұзақ жыл қызмет атқарған (бір мың тоғыз жүз сексен бір минус бір мың тоғыз жүз тоқсан алты) 
"
"Қарапайым тілшіден бас редактордың орынбасарына дейін көтерілген.
","Қарапайым тілшіден бас редактордың орынбасарына дейін көтерілген 
"
"Кейіннен ҚР Мемлкеттік тергеу комитетінің «Қылмыс пен жаза – Преступление и наказание» газетінің бас редакторы болған.
","Кейіннен ҚР Мемлкеттік тергеу комитетінің «Қылмыс пен жаза   Преступление и наказание» газетінің бас редакторы болған 
"
"Қарапайым тілшіден бас редактордың орынбасарына дейін көтерілген. Кейіннен ҚР Мемлкеттік тергеу комитетінің «Қылмыс пен жаза – Преступление и наказание» газетінің бас редакторы болған. ҰҚК-де қызмет атқарған. Қазақстан Республикасының Мәдениет қайраткері, Қазақстан Журналистер одағы және Сейдахмет Бердіқұлов сыйлықтарының иегері.
","Қарапайым тілшіден бас редактордың орынбасарына дейін көтерілген  Кейіннен ҚР Мемлкеттік тергеу комитетінің «Қылмыс пен жаза   Преступление и наказание» газетінің бас редакторы болған  ҰҚК де қызмет атқарған  Қазақстан Республикасының Мәдениет қайраткері, Қазақстан Журналистер одағы және Сейдахмет Бердіқұлов сыйлықтарының иегері 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Елордада төбеден түскен қар көліктердің күл-талқанын шығарды
","« Елордада төбеден түскен қар көліктердің күлталқанын шығарды
"
"Жезқазғанда жол апатынан бес адам қаза тапты »
","Жезқазғанда жол апатынан бес адам қаза тапты »
"
"ҚР премьер-министрі Асқар Маминнің төрағалығымен өткен Үкіметтің селекторлық отырысында көктемгі егіс жұмыстарына дайындық барысы қаралды.
","ҚР премьерминистрі Асқар Маминнің төрағалығымен өткен Үкіметтің селекторлық отырысында көктемгі егіс жұмыстарына дайындық барысы қаралды 
"
"Шаруалардың егіс науқанына дайындығы туралы ауыл шаруашылығы министрі Сапархан Омаров, жанар-жағармай материалдарымен қамтамасыз етілуі туралы энергетика министрі Нұрлан Ноғаев, өңірлердегі ахуал туралы Түркістан облысының әкімі Өмірзақ Шөкеев, Қостанай облысының әкімі Архимед Мұхамбетов, Солтүстік Қазақстан облысының әкімі Құмар Ақсақалов, Ақмола облысының әкімі Ермек Маржықпаев баяндады.
","Шаруалардың егіс науқанына дайындығы туралы ауыл шаруашылығы министрі Сапархан Омаров, жанаржағармай материалдарымен қамтамасыз етілуі туралы энергетика министрі Нұрлан Ноғаев, өңірлердегі ахуал туралы Түркістан облысының әкімі Өмірзақ Шөкеев, Қостанай облысының әкімі Архимед Мұхамбетов, Солтүстік Қазақстан облысының әкімі Құмар Ақсақалов, Ақмола облысының әкімі Ермек Маржықпаев баяндады 
"
"Биыл 22,7 млн га жерге егін егу жоспарланған, бұл 2020 жылға қарағанда 186,6 мың га артық.
","Биыл жиырма екі бүтін оннан жеті миллионов га жерге егін егу жоспарланған, бұл екі мың жиырмасыншы жылға қарағанда жүз сексен алты бүтін оннан алты мың га артық 
"
"Дәнді дақылдар мен дәнді бұршақты дақылдар 15,8 млн га (оның ішінде бидай – 12,1 млн га), майлы дақылдар – 3 млн га, мақта – 116,5 мың га, қант қызылшасы – 21,8 мың га, көкөніс және картоп – 489 мың га, жемшөп дақылдары 3,4 млн га жерге егіледі, деп хабарлады primeminister.kz.
","Дәнді дақылдар мен дәнді бұршақты дақылдар он бес бүтін оннан сегіз миллионов га (оның ішінде бидай   он екі бүтін оннан бір миллионов га), майлы дақылдар   үш миллионов га, мақта   жүз он алты бүтін оннан бес мың га, қант қызылшасы   жиырма бір бүтін оннан сегіз мың га, көкөніс және картоп   төрт жүз сексен тоғыз мың га, жемшөп дақылдары үш бүтін оннан төрт миллионов га жерге егіледі, деп хабарлады примеминистер кз 
"
"Көктемгі дала жұмыстарын жүргізу үшін 380 мың тонна дизель отынына қажеттілік анықталды.
","Көктемгі дала жұмыстарын жүргізу үшін үш жүз сексен мың тонна дизель отынына қажеттілік анықталды 
"
"Ауыл шаруашылығы тауарларын өндірушілер үшін оның орташа бағасы шамамен литріне 165 теңгені құрайды.
","Ауыл шаруашылығы тауарларын өндірушілер үшін оның орташа бағасы шамамен литріне жүз алпыс бес теңгені құрайды 
"
"Елімізде 141,7 мың трактор, 73,2 мың тұқым сепкіш, 221,2 мың топырақ өңдеу құралы, 4,3 мың егіс кешені бар. 2021 жылғы 29 наурыздағы жағдай бойынша ауыл шаруашылығы техникасының көктемгі егіс жұмыстарын жүргізуге дайындығы 97% құрайды.
","Елімізде жүз қырық бір бүтін оннан жеті мың трактор, жетпіс үш бүтін оннан екі мың тұқым сепкіш, екі жүз жиырма бір бүтін оннан екі мың топырақ өңдеу құралы, төрт бүтін оннан үш мың егіс кешені бар  екі мың жиырма бірінші жылғы жиырма тоғызыншы наурыздағы жағдай бойынша ауыл шаруашылығы техникасының көктемгі егіс жұмыстарын жүргізуге дайындығы тоқсан жеті проценттер  құрайды 
"
"Агроөнеркәсіптік кешен субъектілерін қолдау үшін «Аграрлық несие корпорациясы» АҚ республикалық бюджеттен 70 млрд теңге көлемінде бюджеттік кредит бөлді.
","Агроөнеркәсіптік кешен субъектілерін қолдау үшін «Аграрлық несие корпорациясы» АҚ республикалық бюджеттен жетпіс миллиардов теңге көлемінде бюджеттік кредит бөлді 
"
"Түпкі қарыз алушылар үшін сыйақы мөлшерлемесінің жылына 5%-тен аспайды.
","Түпкі қарыз алушылар үшін сыйақы мөлшерлемесінің жылына бес проценттер  тен аспайды 
"
"Бөлінген қаражат 3 млн га егіс алқабын қамти отырып, 2400 АӨК субъектісін қаржыландыруға мүмкіндік береді.
","Бөлінген қаражат үш миллионов га егіс алқабын қамти отырып, екі мың төрт жүз АӨК субъектісін қаржыландыруға мүмкіндік береді 
"
"Бюджеттік кредит берумен қатар, биылғы жылы ауыл шаруашылығы өнімдерін форвардтық сатып алуды жүзеге асыру үшін бөлінген қаражаттың көлемі 24,5 млрд теңгеден 45,3 млрд теңгеге дейін артты.
","Бюджеттік кредит берумен қатар, биылғы жылы ауыл шаруашылығы өнімдерін форвардтық сатып алуды жүзеге асыру үшін бөлінген қаражаттың көлемі жиырма төрт бүтін оннан бес миллиардов теңгеден қырық бес бүтін оннан үш миллиардов теңгеге дейін артты 
"
